Thread Content,Lemmas
yeah official trials showed different picture lodging even mentioned ag teagasc crops september fairness kind varieties away fine fields show pushed hate thats used despite weaknesses end grower lot money variety special like 10 yield disease one could risks doesnt apply variety,yeah official trial showed different picture lodging even mentioned ag teagasc crop september fairness kind variety away fine field show pushed hate thats used despite weakness end grower lot money variety special like 10 yield disease one could risk doesnt apply variety
planted 2nd december nicely planted 4th peeping,planted 2nd december nicely planted 4th peeping
looking well ditch yesterday,looking well ditch yesterday
masseyrk662 giving hand planting,masseyrk662 giving hand planting
planted wet areas december 5th peeping unusual see december drilled emerge new simple soil thermometer lawn behind house never seen double digit values either december january,planted wet area december 5th peeping unusual see december drilled emerge new simple soil thermometer lawn behind house never seen double digit value either december january
christmas happy 27th nov crow banger set great job keeping away went today discover somebody turned holiday crows day ever since seems causing disturbance appreciated call say could worked around,christmas happy 27th nov crow banger set great job keeping away went today discover somebody turned holiday crow day ever since seems causing disturbance appreciated call say could worked around
hopefully banger wasnt damaged people cranky enough put loader bucket banger keep safe tunneller could gun best option keep crows properly gets two leaves time near crops little damage nothing id worry ive gone number times spent couple hours shooting tear bodies scatter across works well,hopefully banger wasnt damaged people cranky enough put loader bucket banger keep safe tunneller could gun best option keep crow properly get two leaf time near crop little damage nothing id worry ive gone number time spent couple hour shooting tear body scatter across work well
like improvisation banger job couple weeks busy time gotten lacks checking meaning hide job dont theres anything hate crows,like improvisation banger job couple week busy time gotten lack checking meaning hide job dont there anything hate crow
timer running time,timer running time
timer daylight stopped sunset,timer daylight stopped sunset
timer light sensor sometimes daylight sensor doesnt turn full moon,timer light sensor sometimes daylight sensor doesnt turn full moon
least tried theres around weeks dry days looked lovely nice tasty job however banger shooting attempt kind keep crows pass least twice daily every crow parish 3 squares day since id love know produces come harvest,least tried there around week dry day looked lovely nice tasty job however banger shooting attempt kind keep crow pas least twice daily every crow parish 3 square day since id love know produce come harvest
timer im pretty sure fella shop set dad left,timer im pretty sure fella shop set dad left
mention crow bangers best makemodel buy thanks,mention crow banger best makemodel buy thanks
zon mark 4 dad returned research done buying mechanism stiff start interval timer wouldnt trigger beyond minutes us able set fire every 1 30 minutes probably regular necessary,zon mark 4 dad returned research done buying mechanism stiff start interval timer wouldnt trigger beyond minute u able set fire every 1 30 minute probably regular necessary
champion taking fair hammering wind rain 2 weeks hopefully past small concerned tractor drove rolled plants emerging weeks youd hardly spot beauty 12m roller youre tramline every 2nd run,champion taking fair hammering wind rain 2 week hopefully past small concerned tractor drove rolled plant emerging week youd hardly spot beauty 12m roller youre tramline every 2nd run
best banger old exid long barrel fitted electronic control kit outfit essex sell 4 shots usually 2 leave crows next parish bang nicknamed cannon man knowledgable things informed breach eu rule governing banger decibel volume,best banger old exid long barrel fitted electronic control kit outfit essex sell 4 shot usually 2 leave crow next parish bang nicknamed cannon man knowledgable thing informed breach eu rule governing banger decibel volume
come finest wheel tracks rolled october osr looked terrible weeks since early december came well hard pushed pick wheel tracks minute,come finest wheel track rolled october osr looked terrible week since early december came well hard pushed pick wheel track minute
salt recent storms perhaps id say itll grow away fine wosr seem handle salt winds better beans,salt recent storm perhaps id say itll grow away fine wosr seem handle salt wind better bean
wer man roller autumn fair fcks ya,wer man roller autumn fair fcks ya
slightly north facing weve open fields graham closer ballycotton got much salt young leaves flopping around wind mild grew away,slightly north facing weve open field graham closer ballycotton got much salt young leaf flopping around wind mild grew away
slugs nearly pushed roller around wosr,slug nearly pushed roller around wosr
hunter becomes hunted,hunter becomes hunted
late growing away nicely good dry weather take pressure crops,late growing away nicely good dry weather take pressure crop
many seedsm² sow,many seedsm² sow
approx 490,approx 490
correct saying 61 est rate must go counts thats case,correct saying 61 est rate must go count thats case
yep still peeping another count week lots little stones land leads lower establishment rates first week december different land 64 memory,yep still peeping another count week lot little stone land lead lower establishment rate first week december different land 64 memory
thinking go tower end nov frost forecast next week looks cold thereafter risky,thinking go tower end nov frost forecast next week look cold thereafter risky
general find tower quite safe especially hadnt everything already done taking opportunity note tower weeds weak may need follow spray spring,general find tower quite safe especially hadnt everything already done taking opportunity note tower weed weak may need follow spray spring
yeah today everything upto date weeds first time using hoping itll effective grasses,yeah today everything upto date weed first time using hoping itll effective grass
top head may missing bad wild oats brome marigold groundsel also find 100 fumitory especially late still good product dirty fields need little help spring,top head may missing bad wild oat brome marigold groundsel also find 100 fumitory especially late still good product dirty field need little help spring
go broadway star march takes wild oats brome mop later needed hard unlike pacifica,go broadway star march take wild oat brome mop later needed hard unlike pacifica
mid november got generic defy dff today ground good travel,mid november got generic defy dff today ground good travel
milder weather welcome late leaf 3 starting emerge,milder weather welcome late leaf 3 starting emerge
despite late sowing date im happy disease plots developed 2000 finally took anticrow thread today 27th november,despite late sowing date im happy disease plot developed 2000 finally took anticrow thread today 27th november
jethroe tull mintill,jethroe tull mintill
done little sunshine,done little sunshine
take happy pill rose tinted glasses putting tramlines gps tractor start fertilizer loaded ceraide thin spots,take happy pill rose tinted glass putting tramline gps tractor start fertilizer loaded ceraide thin spot
looks similar spots spray applied,look similar spot spray applied
took opportunity mark tramlines follow spread fertilizer first time machine except hedgecutter,took opportunity mark tramline follow spread fertilizer first time machine except hedgecutter
come cant put tramlines fertiliser spreader,come cant put tramline fertiliser spreader
gps sprayer tractor usually sprayer autumn easier mark headland sprayer take sprayer put fertilizer spreader,gps sprayer tractor usually sprayer autumn easier mark headland sprayer take sprayer put fertilizer spreader
silly question maybe open booms working gps mark tramlines,silly question maybe open boom working gps mark tramline
sir bog man said already leaves open judgemark headland tramline goes probably left sprayer unfolded also looks less likely cheese finally fallen cracker driving around sprayer folded although trained eye spraying water coming probably make wonder late,sir bog man said already leaf open judgemark headland tramline go probably left sprayer unfolded also look le likely cheese finally fallen cracker driving around sprayer folded although trained eye spraying water coming probably make wonder late
rustymcsocks said sir bog man said already leaves open judgemark headland tramline goes probably left sprayer unfolded click expand booms travel better folded also put tramlines favourable esb poles water coming part pesticide reduction climate friendly policy,rustymcsocks said sir bog man said already leaf open judgemark headland tramline go probably left sprayer unfolded click expand boom travel better folded also put tramline favourable esb pole water coming part pesticide reduction climate friendly policy
start thinking fert interest,start thinking fert interest
good weather beginning march go 40 units near st patricks day go 60 units thin crops go february shake front load sulphur,good weather beginning march go 40 unit near st patrick day go 60 unit thin crop go february shake front load sulphur
layers muck top dressing ww due another couple weeks id prob might go shake front crops look good though fairness,layer muck top dressing ww due another couple week id prob might go shake front crop look good though fairness
always ahead curve water pure chemical sprayer thats precision ag,always ahead curve water pure chemical sprayer thats precision ag
calm days still scarce late november getting first taste fertiliser weeds sprayed yet thatll next job hard weeds arent plentiful snow knockmealdowns distance,calm day still scarce late november getting first taste fertiliser weed sprayed yet thatll next job hard weed arent plentiful snow knockmealdowns distance
wasnt brave enough chance today week ahead great surely turn soon,wasnt brave enough chance today week ahead great surely turn soon
land firming relatively quickly gets chance time helping terms evaporation,land firming relatively quickly get chance time helping term evaporation
brother currently spreading moment calm opportunities rare moment,brother currently spreading moment calm opportunity rare moment
wouldnt unknown weather dry remain dry harsh weeks time im seeing forecast harm nutrients available,wouldnt unknown weather dry remain dry harsh week time im seeing forecast harm nutrient available
good drying day march good week november,good drying day march good week november
thats back minds fert sitting ground thing needs,thats back mind fert sitting ground thing need
may sitting ground weeks eventually washed made weak straw,may sitting ground week eventually washed made weak straw
disappointing largely sowing soon glyphosate dad reckons slugs tests didnt seem bad time hindsight better leaving sowing later others reckon crops potential look bad,disappointing largely sowing soon glyphosate dad reckons slug test didnt seem bad time hindsight better leaving sowing later others reckon crop potential look bad
id bet 50 slugs long left glyphosate sowing ive never seen issue firming effect tyres visible slugs pests like leatherjackets wireworm love loose soil conditions,id bet 50 slug long left glyphosate sowing ive never seen issue firming effect tyre visible slug pest like leatherjacket wireworm love loose soil condition
headlands like min till sort,headland like min till sort
maybe slugs never noticed bad 4 5 days grassy places made mad rush sow bad weather mid october come much harvest wonder claas grass said headlands like min till sort click expand yep disced bean ground theyre much tbh bottom photo much better wheelings pushing larger tyres important current system,maybe slug never noticed bad 4 5 day grassy place made mad rush sow bad weather mid october come much harvest wonder claas grass said headland like min till sort click expand yep disced bean ground theyre much tbh bottom photo much better wheeling pushing larger tyre important current system
id shocked glyphosate anything awful slugs beans wosr shocked occasions produced despite damage hand wouldnt worth damn ive looking much worse yield 35tnac drowned one particular 45tn nice looking land flat good sized fields free draining looking,id shocked glyphosate anything awful slug bean wosr shocked occasion produced despite damage hand wouldnt worth damn ive looking much worse yield 35tnac drowned one particular 45tn nice looking land flat good sized field free draining looking
much glyphosate mean presence green weeds combined discing subsequent heavy rains negatively affected seed establishment thats encouraging least good ability compensate fingers crossed ground good potential achieved 3t beans 1 bag 0730,much glyphosate mean presence green weed combined discing subsequent heavy rain negatively affected seed establishment thats encouraging least good ability compensate finger crossed ground good potential achieved 3t bean 1 bag 0730
gave feed compound yesterday evening tramlines good order thin enough looking might worst one much,gave feed compound yesterday evening tramline good order thin enough looking might worst one much
whats wheel tracks,whats wheel track
grubbing resowing far wet yet tho hed safer home,grubbing resowing far wet yet tho hed safer home
fellow driving tractor forgot white face paint big red nose green wig got tractor morning,fellow driving tractor forgot white face paint big red nose green wig got tractor morning
oh ffs,oh ffs
lads see sun go wild time,lad see sun go wild time
blackwater boy said whats wheel tracks click expand jay dee said grubbing resowing far wet yet tho hed safer home click expand damper today,blackwater boy said whats wheel track click expand jay dee said grubbing resowing far wet yet tho hed safer home click expand damper today
rub grubber tomorrow fix,rub grubber tomorrow fix
keep eye half expecting slurry outfit turn,keep eye half expecting slurry outfit turn
sometimes better walk away thing weeks put head,sometimes better walk away thing week put head
picking stones evening fendt stone fork front,picking stone evening fendt stone fork front
10 days since end november received first n responded quickly next job weed spray itll good su pixxaro virtually annual meadow grass thankfully probably due controlling well previous years isnt big lush theres bare areas thankfully,10 day since end november received first n responded quickly next job weed spray itll good su pixxaro virtually annual meadow grass thankfully probably due controlling well previous year isnt big lush there bare area thankfully
wild oats,wild oat
little really might walking job undecided id rather spray,little really might walking job undecided id rather spray
nearly finished picking stones second picture probably sow,nearly finished picking stone second picture probably sow
mine perked week 10 days since got compound felt thin filling well,mine perked week 10 day since got compound felt thin filling well
looks powerful stage wouldnt worried thin compensate way tillers big bold ears 2 years ago way past bed time drill ran driving matched back closely happened one strip extremely thin could redrilled come harvest made little difference,look powerful stage wouldnt worried thin compensate way tiller big bold ear 2 year ago way past bed time drill ran driving matched back closely happened one strip extremely thin could redrilled come harvest made little difference
today trying give kick 10s hungry looking wasnt bad take considering conditions,today trying give kick 10 hungry looking wasnt bad take considering condition
first time got first split n compound wondering growth stage lads stick main split early,first time got first split n compound wondering growth stage lad stick main split early
easy see difference soil type drains second picture,easy see difference soil type drain second picture
1st,1st
make sure washed drought usually around 15 th 20th april brother remembers sheep green mould growing wool wet,make sure washed drought usually around 15 th 20th april brother remembers sheep green mould growing wool wet
ww told go 3x10 method 3 splits 10 march 10 april 10 may general,ww told go 3x10 method 3 split 10 march 10 april 10 may general
march 3rd 4 weeks fairly advanced yet sure growth stage definitely 30 handy dust,march 3rd 4 week fairly advanced yet sure growth stage definitely 30 handy dust
yeah 3 splits thought early always around start april,yeah 3 split thought early always around start april
driving wicklow today admiring lovely green crops realized sunglasses,driving wicklow today admiring lovely green crop realized sunglass
people pgr ww ccc modus enough people go ccc twice modus second round,people pgr ww ccc modus enough people go ccc twice modus second round
really depends variety stand better others sowing date later move quickly opportunity pgr pass quickly rotation second grass fertile nitrogen input organic manures etc regular october break assuming variety isnt bad lodging usually go two applications pgr first mix ccc moddus playing safe itll 15 18l ccc plus 02 moddus today pulled moddus back 01l im early im wary cold night moddus lethal job second application flag leaf peeping usually medax max although terpal good straw isnt mushrooms pgrs really input needs experience ive done scorching past im sure ill im sure others different approaches,really depends variety stand better others sowing date later move quickly opportunity pgr pas quickly rotation second grass fertile nitrogen input organic manure etc regular october break assuming variety isnt bad lodging usually go two application pgr first mix ccc moddus playing safe itll 15 18l ccc plus 02 moddus today pulled moddus back 01l im early im wary cold night moddus lethal job second application flag leaf peeping usually medax max although terpal good straw isnt mushroom pgrs really input need experience ive done scorching past im sure ill im sure others different approach
1st strip tilling good bad patches,1st strip tilling good bad patch
looks well considering wouldnt easy strip till ground,look well considering wouldnt easy strip till ground
beans received pig slurry early october lush already gs 31 take advice go modus ccc hoping sorted tomorrow frost seems gone tonight didnt terpal option ww also least needed thanks,bean received pig slurry early october lush already g 31 take advice go modus ccc hoping sorted tomorrow frost seems gone tonight didnt terpal option ww also least needed thanks
spraying shortner trace elements duplosan volunteer beans making downpour forecast 5pm depressing,spraying shortner trace element duplosan volunteer bean making downpour forecast 5pm depressing
make 2 downpours worst part half tank left started raining put saturated waste money,make 2 downpour worst part half tank left started raining put saturated waste money
weve least looks nice youll know herbicide worked looking beans pgr probably cheap enough worse things happen sea,weve least look nice youll know herbicide worked looking bean pgr probably cheap enough worse thing happen sea
happened onetime one ten straws shortened harvest shortened wisp tall grains foot rest,happened onetime one ten straw shortened harvest shortened wisp tall grain foot rest
finishing spraying today beans visibly crumpled least worked interesting see pgr worked despite multiple downpours,finishing spraying today bean visibly crumpled least worked interesting see pgr worked despite multiple downpour
dont want negative sprayed ccc medax max oats half way pour started im fairly sure shortening affect plants,dont want negative sprayed ccc medax max oat half way pour started im fairly sure shortening affect plant
oats less accepting ccc,oat le accepting ccc
second run n late early morning still calm sun appeared briefly dont itll problem getting washed thin patches slugs im happy overall take loader occasion,second run n late early morning still calm sun appeared briefly dont itll problem getting washed thin patch slug im happy overall take loader occasion
week sprayed 255g broadway star 1lha ccc autumn herbicide said fields virtually weeds,week sprayed 255g broadway star 1lha ccc autumn herbicide said field virtually weed
tough weeds ive noticed similar,tough weed ive noticed similar
walking today good tips previous leaf scorched looking sprayed first time week couldnt scorch spray weather related could deficiencydisease,walking today good tip previous leaf scorched looking sprayed first time week couldnt scorch spray weather related could deficiencydisease
probably septoria yellowing could occurred ran nitrogen fertiliser applied saw october,probably septoria yellowing could occurred ran nitrogen fertiliser applied saw october
costs sorted need time machine go back 1983,cost sorted need time machine go back 1983
sun tan lotion chemicals could sent chernobyl cleaned week,sun tan lotion chemical could sent chernobyl cleaned week
thats enough make fella take bed,thats enough make fella take bed
god days put 1l tilt flag leaf 5 acres guaranteed control septoria probably turned tips leaves bright yellow worked,god day put 1l tilt flag leaf 5 acre guaranteed control septoria probably turned tip leaf bright yellow worked
ahead game put three fungicides 4 4 12,ahead game put three fungicide 4 4 12
round two fertilizer needs spraying next weeds come big time,round two fertilizer need spraying next weed come big time
mine woken fortnight sprayed today pgr mancozin fungicide avena lots oats coming years,mine woken fortnight sprayed today pgr mancozin fungicide avena lot oat coming year
nice fungicide use,nice fungicide use
fungicide pyrac new one havent used follow agronomist advice sprays wouldnt confident enough,fungicide pyrac new one havent used follow agronomist advice spray wouldnt confident enough
generic comet,generic comet
ingredient comet,ingredient comet
yep concentration,yep concentration
t0 yeah im wondering t1 approx dates mine advanced looks like leaf 3 almost fully emerged,t0 yeah im wondering t1 approx date mine advanced look like leaf 3 almost fully emerged
yes t0 im told t1 10 14 days,yes t0 im told t1 10 14 day
thiopron liquid sulphur aswell,thiopron liquid sulphur aswell
nope didnt,nope didnt
bringing 160 units fendt error code tw15 stepped wired sprayer spreader replaced speed sensor years ago seems problem,bringing 160 unit fendt error code tw15 stepped wired sprayer spreader replaced speed sensor year ago seems problem
spotted bunclody ballon ballon carlow road forget bunclody side yesterday evening something special tws,spotted bunclody ballon ballon carlow road forget bunclody side yesterday evening something special tws
crossed road house rest time back fields,crossed road house rest time back field
old reliable,old reliable
ye thinking t1 local merchant telling go ascra save revystar t2 opinions either way,ye thinking t1 local merchant telling go ascra save revystar t2 opinion either way
agronomist advising exactly say,agronomist advising exactly say
revystar t1 inatreq t2 plan,revystar t1 inatreq t2 plan
guy reckons strong t2 important t1 aiming clean flag leaf probably add folpet,guy reckons strong t2 important t1 aiming clean flag leaf probably add folpet
1st spray today,1st spray today
looks well,look well
driving since got fertilizer twas late sowing happy,driving since got fertilizer twas late sowing happy
gs 32 third leaf quite emerged probably early next week,g 32 third leaf quite emerged probably early next week
sprayed mine today ascra 9 lha folpet 15 l ha axial 8 15 acre sprayer 17 acres sprayer wasnt working right nozzles blocking residue spray spray programme isnt according plan volunteer beans thought dieing standing back guess pgr herbicide wont work either given flood rain got spraying,sprayed mine today ascra 9 lha folpet 15 l ha axial 8 15 acre sprayer 17 acre sprayer wasnt working right nozzle blocking residue spray spray programme isnt according plan volunteer bean thought dieing standing back guess pgr herbicide wont work either given flood rain got spraying
part country curious whether youre high low pressure septoria area big bad canary grass,part country curious whether youre high low pressure septoria area big bad canary grass
north kerry two growers near us almost everything else spring yeah poisoned canary grass,north kerry two grower near u almost everything else spring yeah poisoned canary grass
cant help spray recommendations regarding sprayer find first run spraying glyphosate product nozzles give trouble blocking told glyphosate notorious lifting scale inside pipes fair pain stopping every 100m sort pressure sprayed,cant help spray recommendation regarding sprayer find first run spraying glyphosate product nozzle give trouble blocking told glyphosate notorious lifting scale inside pipe fair pain stopping every 100m sort pressure sprayed
anyone found solution bother spring put line filters booms next chance fine pressure place,anyone found solution bother spring put line filter boom next chance fine pressure place
im wondering never rarely blocked nozzle maybe nozzles use 035 guardian airs water hard comes tank tank lime scale sprayer main filter water enters sprayer another single filter back remember ever leaving spray overnight maybe thats reason,im wondering never rarely blocked nozzle maybe nozzle use 035 guardian air water hard come tank tank lime scale sprayer main filter water enters sprayer another single filter back remember ever leaving spray overnight maybe thats reason
australia sprayer washed washing powder cleaned properly reckoned neutralised glyphosate,australia sprayer washed washing powder cleaned properly reckoned neutralised glyphosate
persil daz,persil daz
spurious stuff omo called used buy big bulk buckets,spurious stuff omo called used buy big bulk bucket
5 old sprayer never spray board overnight general full gets used within 90mins stainless boom tubes thought better plastic occasions taken end caps stainless tubes found scale scum inside seems mainly trace elements mancozin etc sprayer filter suction delivery pump water high lime allright sucked dedicated storage tank trouble seems glyphosate,5 old sprayer never spray board overnight general full get used within 90mins stainless boom tube thought better plastic occasion taken end cap stainless tube found scale scum inside seems mainly trace element mancozin etc sprayer filter suction delivery pump water high lime allright sucked dedicated storage tank trouble seems glyphosate
usual time suffered blockages spraying glyphosate january put residue drying sprayer lines breaking loose opposed glyphosate,usual time suffered blockage spraying glyphosate january put residue drying sprayer line breaking loose opposed glyphosate
used happen sometimes old berthoud issue amazone though boom circulation system allows boom wash better dead ends,used happen sometimes old berthoud issue amazone though boom circulation system allows boom wash better dead end
didnt know amazone good idea,didnt know amazone good idea
new nozzles maybe worth trying another brand theres stainless steel lines probably given blockage problems previous berthouds bought family farming friend died suddenly parked 2 years probably didnt help things spray left little breakdown occurred got times night put agitating might try idea evan kind quantity use particular procedure ozzys great figuring little life hacks,new nozzle maybe worth trying another brand there stainless steel line probably given blockage problem previous berthouds bought family farming friend died suddenly parked 2 year probably didnt help thing spray left little breakdown occurred got time night put agitating might try idea evan kind quantity use particular procedure ozzys great figuring little life hack
optional extra buying 4 years ago well worth spray lines full chemical starting need wait sure chemical coming thorough nozzles starting,optional extra buying 4 year ago well worth spray line full chemical starting need wait sure chemical coming thorough nozzle starting
ive used chlorus past,ive used chlorus past
berthoud boom circulation still blocked nozzles using glyphosate find nearly always three four nozzles ends boom usually put nozzles filters good help said mancozin seems main culprit,berthoud boom circulation still blocked nozzle using glyphosate find nearly always three four nozzle end boom usually put nozzle filter good help said mancozin seems main culprit
autumn applied ipu used bad staying lines stopping due rain run clean water lines often take stopends flush lines starting roundup,autumn applied ipu used bad staying line stopping due rain run clean water line often take stopends flush line starting roundup
honest never really said much used chuck 3 4 kg mabe induction bowl youve sprayed load roundup couple hundred litres clean water tank leave mix little let nozzles big rig 6000 litre self propelled deere 120 ft boom also used stuff washing sprayers called clear dont know got part world,honest never really said much used chuck 3 4 kg mabe induction bowl youve sprayed load roundup couple hundred litre clean water tank leave mix little let nozzle big rig 6000 litre self propelled deere 120 ft boom also used stuff washing sprayer called clear dont know got part world
lot random plants scattered much advanced main thought infestation wild oats early appears maybe different variety seed variety awns,lot random plant scattered much advanced main thought infestation wild oat early appears maybe different variety seed variety awn
lot crops explained,lot crop explained
yep type genetic type occurs variety day 1 ive seen kind thing spring varieties past doesnt always happen opinion stress water logging compaction etc early crops life seems encourage could actually type tillers normal tillers plant including tiller awns look messy stage evens weeks pass,yep type genetic type occurs variety day 1 ive seen kind thing spring variety past doesnt always happen opinion stress water logging compaction etc early crop life seems encourage could actually type tiller normal tiller plant including tiller awn look messy stage even week pas
one bad thought volunteer oats years doesnt wild oats must open plants proper look thanks tip,one bad thought volunteer oat year doesnt wild oat must open plant proper look thanks tip
interesting worse one matches observations crops others despite crops seed original origin used lot spring varieties past stress making show worse fields still remember two particular cases one farmer sprayed 2wd tractor front wheels gone across headland tramline time came end run guess making sure didnt miss bits taller tillers appeared front wheels driven another case spring talls showing patches scattered across farmer eventually copped talls showing bales straw sat previous case bales could say due nutrients leaching straw bales like potassium,interesting worse one match observation crop others despite crop seed original origin used lot spring variety past stress making show worse field still remember two particular case one farmer sprayed 2wd tractor front wheel gone across headland tramline time came end run guess making sure didnt miss bit taller tiller appeared front wheel driven another case spring tall showing patch scattered across farmer eventually copped tall showing bale straw sat previous case bale could say due nutrient leaching straw bale like potassium
interesting three nine acre fields planted two may dozen plants showing well rest third least hundreds plants convinced oats three fields adjacent one another identical soil may 500kg bag seed issue much less hedge started planting must better look tomorrow evening rest caught past 2 weeks getting less noticeable thought wild oats spray working,interesting three nine acre field planted two may dozen plant showing well rest third least hundred plant convinced oat three field adjacent one another identical soil may 500kg bag seed issue much le hedge started planting must better look tomorrow evening rest caught past 2 week getting le noticeable thought wild oat spray working
thanks explanation yeah looks messy alright least recovered colour week,thanks explanation yeah look messy alright least recovered colour week
yes turned blue green past days,yes turned blue green past day
worried may bydv mine considering never got aphacide,worried may bydv mine considering never got aphacide
never say never hopefully ive seen bad surprising considering bad weather,never say never hopefully ive seen bad surprising considering bad weather
mine escaped bar really sheltered beside trees showing patches sort yield effect could expect similar 2 years ago hit tonacre one 18 acres averaged approx 4 tonacre badly affected 3 tonacre none got aphacide 4 ton stuff around oct 10 3 ton days september sowed first week october fingers,mine escaped bar really sheltered beside tree showing patch sort yield effect could expect similar 2 year ago hit tonacre one 18 acre averaged approx 4 tonacre badly affected 3 tonacre none got aphacide 4 ton stuff around oct 10 3 ton day september sowed first week october finger
t1,t1
crack trams come harvest,crack tram come harvest
champion tall need terpal,champion tall need terpal
good steady septoria,good steady septoria
must right thing evening t1 pgr onto mid october trials radio phone used job 4 separate trials sections left untreated easy make mess 100 different varieties matching fungicide timing leaf emergence fair compromise looks like fungicide fair test tomorrow,must right thing evening t1 pgr onto mid october trial radio phone used job 4 separate trial section left untreated easy make mess 100 different variety matching fungicide timing leaf emergence fair compromise look like fungicide fair test tomorrow
dawson graham yesterday,dawson graham yesterday
flag leaf emerging mine looks like went early t1 must leaf 4 3 sprayed anyway 35 weeks since sprayed hold tough till flag leaf fully drive next dry day way pgr weed spray applied got flood rain worked clearly see height difference beans growing corners shut inside boom,flag leaf emerging mine look like went early t1 must leaf 4 3 sprayed anyway 35 week since sprayed hold tough till flag leaf fully drive next dry day way pgr weed spray applied got flood rain worked clearly see height difference bean growing corner shut inside boom
stage hold maybe may wrong,stage hold maybe may wrong
far away flag leaf fully emerged product rate using t2,far away flag leaf fully emerged product rate using t2
walked evening plants flag leaf fully emerged spray either tomorrow friday id say 34 rate revystar folpet b evergreen,walked evening plant flag leaf fully emerged spray either tomorrow friday id say 34 rate revystar folpet b evergreen
clean extremely dirty around,clean extremely dirty around
blackwater boy said clean extremely dirty around click expand,blackwater boy said clean extremely dirty around click expand
upper leaves look good lower leaves rotten lot 6 row coming assume volunteers didnt come seed eventhough previous beans looks unsightly see volunteer beans missed ins outs,upper leaf look good lower leaf rotten lot 6 row coming assume volunteer didnt come seed eventhough previous bean look unsightly see volunteer bean missed in out
mine,mine
lucky im seed definitely fail,lucky im seed definitely fail
ringing seed supplier,ringing seed supplier
untreated looks treated present loads septoria leaf 3 top 3 leaves still clean know thats theres lot septoria pop yet,untreated look treated present load septoria leaf 3 top 3 leaf still clean know thats there lot septoria pop yet
find 6 row inclined resurface ploughed never problem 2 row name similar problem years ago seed 2 years 6 row,find 6 row inclined resurface ploughed never problem 2 row name similar problem year ago seed 2 year 6 row
indeed 6 row anywhere rotation seed grower bad news speaking experience hybrids probably worse,indeed 6 row anywhere rotation seed grower bad news speaking experience hybrid probably worse
2 row 6 row hybrid past years hardly 6 row showing makes suspicious stuff could well come seed,2 row 6 row hybrid past year hardly 6 row showing make suspicious stuff could well come seed
wasnt seed grew anyway seed rejected couple years ago hybrid,wasnt seed grew anyway seed rejected couple year ago hybrid
moving graham earlier normal,moving graham earlier normal
sprayed t2 aquino turret arizona got stopped rain earlier finishing,sprayed t2 aquino turret arizona got stopped rain earlier finishing
took look neighbors trials control plots got weed spray 180kgha urea nothing else usual varieties wont worth cuttingbut couple outstanding new varieties first resistant bydv mosaic orange blossom midge eyespot,took look neighbor trial control plot got weed spray 180kgha urea nothing else usual variety wont worth cuttingbut couple outstanding new variety first resistant bydv mosaic orange blossom midge eyespot
second variety resistant bydv mosaic midge varieties supposed available autumn well,second variety resistant bydv mosaic midge variety supposed available autumn well
looks like good genetic progress hopefully well see kind genetics,look like good genetic progress hopefully well see kind genetics
spoke guy thats running trialshe said 2 varieties wont available 2027 well theyve lot hoops jump yet,spoke guy thats running trialshe said 2 variety wont available 2027 well theyve lot hoop jump yet
variety plots bulked nicely,variety plot bulked nicely
honestly never seen one neighbours must take pic,honestly never seen one neighbour must take pic
coming 3 weeks since t2 seems disease showing flag leaf variety see talk online bring forward t3 head spray help protect flag leaf feed heads almost fully emerged flowering yet thoughts,coming 3 week since t2 seems disease showing flag leaf variety see talk online bring forward t3 head spray help protect flag leaf feed head almost fully emerged flowering yet thought
head spray best timed mid flowering sure bringing forward much flag leaf especially hardly revystar questar,head spray best timed mid flowering sure bringing forward much flag leaf especially hardly revystar questar
fully agree john head spray fusarium prosaro proline whatever product use absolutely useless septoria t1 ascra 09 11 revystar really good enough strong enough sorry blunt thats truth youre far south much rain heat rates,fully agree john head spray fusarium prosaro proline whatever product use absolutely useless septoria t1 ascra 09 11 revystar really good enough strong enough sorry blunt thats truth youre far south much rain heat rate
balls first time familiar rates talk saw online include sdhi head spray septoria present bring forward head fully emerged rather waiting mid flowering thanks replies lads,ball first time familiar rate talk saw online include sdhi head spray septoria present bring forward head fully emerged rather waiting mid flowering thanks reply lad
mind asking online saw advice,mind asking online saw advice
rates full rates always high pressure compared parts country,rate full rate always high pressure compared part country
video youtube may chemical company sponsored video look didnt save,video youtube may chemical company sponsored video look didnt save
cant seem find bringing timing forward im sure didnt imagine see couple mentions sdhi well azole pressure high vimoy univoq mentioned adding significantly cost doubt,cant seem find bringing timing forward im sure didnt imagine see couple mention sdhi well azole pressure high vimoy univoq mentioned adding significantly cost doubt
sorry grower watching olly blogs youtube upl open day trialling iodus fungicide put t0 kept clean booting supposed work like vaccine tricks plant thinking disease thought quite interesting products like sale variety,sorry grower watching olly blog youtube upl open day trialling iodus fungicide put t0 kept clean booting supposed work like vaccine trick plant thinking disease thought quite interesting product like sale variety
ha dont trick thinking disease already,ha dont trick thinking disease already
t0 thought interesting come across type product snake oil,t0 thought interesting come across type product snake oil
havent come across anything like honest new biological products launched every safely say nothing,havent come across anything like honest new biological product launched every safely say nothing
